"Class","Compound","gene","change_freq","change_int","Cell_line"
"HDAC","Tubacin","Canx",-0.062234520155313,0.00401498769990005,"MCF7"
"HDAC","Tubacin","Dnajc5",0.02622015258286,0.0361704878772,"MCF7"
"HDAC","Tubacin","Egfr",0.00521952008130011,0.0159029656818599,"MCF7"
"HDAC","Tubacin","Errfi1",-0.202364142088977,0.00258300908073994,"MCF7"
"HDAC","Tubacin","Gapdh",-0.079484453635339,0.0398259495809701,"MCF7"
"HDAC","Tubacin","Kpnb1",-0.112427597445067,-0.044596699228578,"MCF7"
"HDAC","Tubacin","Myc",-0.021179690775628,1.59238742198919e-05,"MCF7"
"HDAC","Tubacin","Nras",0.19960359956948,0.00553862714532993,"MCF7"
"HDAC","Tubacin","P53",0.15453576498703,0.0571177020622,"MCF7"
"HDAC","Tubacin","Rab7a",-0.050163356076296,-0.031912282679373,"MCF7"
"HDAC","Tubacin","RhoA",-0.060838192295195,0.04250566580557,"MCF7"
"HDAC","Tubacin","Rpap3",0.16478027134037,-0.021507061633957,"MCF7"
"HDAC","Tubacin","Sec16a",0.24482113764593,-0.010936292573211,"MCF7"
"HDAC","Tubacin","Slc2a1",-0.094846170433717,0.45572961668838,"MCF7"
"Methylase","3-Deazaneplanocin A","Canx",-0.107045638333379,-0.05178501071791,"MCF7"
"Methylase","3-Deazaneplanocin A","Dnajc5",-0.098317173987242,-0.019000732164542,"MCF7"
"Methylase","3-Deazaneplanocin A","Egfr",0.0276321992655599,-0.013067109112596,"MCF7"
"Methylase","3-Deazaneplanocin A","Errfi1",0.0341076359911601,0.01528855438712,"MCF7"
"Methylase","3-Deazaneplanocin A","Gapdh",0.0609342514981299,0.0686340193161099,"MCF7"
"Methylase","3-Deazaneplanocin A","Kpnb1",0.03457925464203,-0.00893413145822897,"MCF7"
"Methylase","3-Deazaneplanocin A","Myc",-0.099008651978833,0.0681254240162801,"MCF7"
"Methylase","3-Deazaneplanocin A","Nras",0.25180988496633,0.00297685000542991,"MCF7"
"Methylase","3-Deazaneplanocin A","P53",-0.0327668874221,-0.013042567326064,"MCF7"
"Methylase","3-Deazaneplanocin A","Rab7a",-0.020568886437313,-0.071605444124259,"MCF7"
"Methylase","3-Deazaneplanocin A","RhoA",0.00675955766539005,0.0459058096454601,"MCF7"
"Methylase","3-Deazaneplanocin A","Rpap3",0.30726742739513,-0.049979151280541,"MCF7"
"Methylase","3-Deazaneplanocin A","Sec16a",0.44511522338464,-0.028173694165504,"MCF7"
"Methylase","3-Deazaneplanocin A","Slc2a1",-0.14675007134602,0.33084775851315,"MCF7"
"Methylase","Sinefungin","Canx",-0.098434198720732,-0.041390523971353,"MCF7"
"Methylase","Sinefungin","Dnajc5",-0.144558421456979,-0.027124553618436,"MCF7"
"Methylase","Sinefungin","Egfr",-0.026089731916452,-0.02346152625756,"MCF7"
"Methylase","Sinefungin","Errfi1",0.12727312244118,0.00206243680697993,"MCF7"
"Methylase","Sinefungin","Gapdh",-0.022635755664043,0.0101660398975101,"MCF7"
"Methylase","Sinefungin","Kpnb1",-0.054881309360747,-0.030032907294402,"MCF7"
